srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000005.95,1700000005.951,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000006.3,1700000006.301,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000006.65,1700000006.651,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000007.0,1700000007.001,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000007.35,1700000007.351,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000007.7,1700000007.701,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50003,10.0.0.1,25,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000008.05,1700000008.051,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000008.4,1700000008.401,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000008.75,1700000008.751,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000009.1,1700000009.101,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000009.45,1700000009.451,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000009.8,1700000009.801,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50004,10.0.0.1,53,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000010.15,1700000010.151,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000010.5,1700000010.501,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000010.85,1700000010.851,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000011.2,1700000011.201,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000011.55,1700000011.551,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000011.9,1700000011.901,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50005,10.0.0.1,80,tcp,REQ,0.001,60,0,64,0,1,0,http,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000012.25,1700000012.251,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000012.6,1700000012.601,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000012.95,1700000012.951,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000013.3,1700000013.301,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000013.65,1700000013.651,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000014.0,1700000014.001,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50006,10.0.0.1,110,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000014.35,1700000014.351,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000014.7,1700000014.701,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000015.05,1700000015.051,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000015.4,1700000015.401,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000015.75,1700000015.751,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000016.1,1700000016.101,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50007,10.0.0.1,111,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000016.45,1700000016.451,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000016.8,1700000016.801,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000017.15,1700000017.151,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000017.5,1700000017.501,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000017.85,1700000017.851,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000018.2,1700000018.201,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50008,10.0.0.1,143,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000018.55,1700000018.551,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000018.9,1700000018.901,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000019.25,1700000019.251,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000019.6,1700000019.601,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000019.95,1700000019.951,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000020.3,1700000020.301,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50009,10.0.0.1,443,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000020.65,1700000020.651,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000021.0,1700000021.001,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000021.35,1700000021.351,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000021.7,1700000021.701,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000022.05,1700000022.051,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000022.4,1700000022.401,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50010,10.0.0.1,445,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000022.75,1700000022.751,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000023.1,1700000023.101,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000023.45,1700000023.451,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000023.8,1700000023.801,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000024.15,1700000024.151,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000024.5,1700000024.501,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50011,10.0.0.1,1433,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000024.85,1700000024.851,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000025.2,1700000025.201,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000025.55,1700000025.551,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000025.9,1700000025.901,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000026.25,1700000026.251,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000026.6,1700000026.601,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50012,10.0.0.1,3306,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000026.95,1700000026.951,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000027.3,1700000027.301,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000027.65,1700000027.651,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000028.0,1700000028.001,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000028.35,1700000028.351,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000028.7,1700000028.701,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50013,10.0.0.1,3389,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000029.05,1700000029.051,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000029.4,1700000029.401,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000029.75,1700000029.751,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000030.1,1700000030.101,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000030.45,1700000030.451,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000030.8,1700000030.801,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50014,10.0.0.1,5432,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000031.15,1700000031.151,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000031.5,1700000031.501,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000031.85,1700000031.851,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000032.2,1700000032.201,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000032.55,1700000032.551,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000032.9,1700000032.901,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50015,10.0.0.1,5900,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000033.25,1700000033.251,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50016,10.0.0.1,6379,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000033.6,1700000033.601,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50016,10.0.0.1,6379,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000033.95,1700000033.951,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
